vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 
augmenting augmentant | w_freq: 4 - 86 | wiki_freq: 1331 - 5886 | sentence_idx: 951657 | align_1: 14-13 | align_2: 15-17 |    These ‘ rural ’ and ‘ urban ’ illusions are then photographed , further augmenting reality . ||| Ces illusions « rurales » et « urbaines » sont ensuite photographiées , augmentant d’ autant la réalité . 

Someone Quelqu’ | w_freq: 352 - 195 | wiki_freq: 6575 - 65 | sentence_idx: 951661 | align_1: 0-0 | align_2: 1-4 |    Someone made a new friend on our walk this morning ! ||| Quelqu’ un s’ est fait un nouvel ami lors de notre promenade ce matin ! 

Lord Seigneur | w_freq: 1 - 2349 | wiki_freq: 0 - 10952 | sentence_idx: 953171 | align_1: 6-11 | align_2: 7-15 |    Psalms 90:1 - 2 says , Lord , thou hast been our dwelling place in all generations . ||| Le Psaume 90:1 , 2 déclare à cet effet : “ Seigneur [ Jéhovah ] ! tu as été pour nous un refuge , de génération en génération . 

Jail Prison | w_freq: 12 - 22 | wiki_freq: 8204 - 2386 | sentence_idx: 954477 | align_1: 6-5 | align_2: 7-10 |    444 An inmate at the Toronto Jail complained to our Office that staff assaulted him on April 10 and 16 , 2012 . ||| 444 Un détenu de la Prison de Toronto s’ est plaint à notre Bureau que le personnel l’ avait agressé les 10 et 16 avril 2012 . 

warns prévient | w_freq: 127 - 49 | wiki_freq: 11882 - 2712 | sentence_idx: 954796 | align_1: 6-9 | align_2: 7-14 |    Priorities must reflect ecological limits , warns Environmental Commissioner ||| Nos priorités doivent tenir compte des limites écologiques , prévient le commissaire à l’ environnement 

Barroso Barroso | w_freq: 33 - 33 | wiki_freq: 1800 - 641 | sentence_idx: 955044 | align_1: 8-7 | align_2: 9-12 |    And yet , the Commission , and Mr Barroso from your ivory tower , what you are saying is : Let them eat cake ! ||| Et pourtant , la Commission , M. Barroso , et à partir de votre tour d' ivoire , ce que vous dites , c' est : Qu' ils mangent de la brioche ! 

adjutant adjudant | w_freq: 2 - 4 | wiki_freq: 6155 - 4706 | sentence_idx: 956152 | align_1: 3-4 | align_2: 4-9 |    As the squadron adjutant noted on the 27th : “ The attention of the enemy bombers [ is ] particularly noticeable before midnight . ||| Comme le capitaine - adjudant de l’ escadron fit remarquer le 27 août : « L’ attention des bombardiers ennemis [ est ] particulièrement perceptible avant minuit . 

swear jure | w_freq: 236 - 213 | wiki_freq: 5814 - 3384 | sentence_idx: 956641 | align_1: 3-2 | align_2: 4-12 |    " I do swear in the name of God /solemnly affirm that what I shall state shall be truth , the whole truth and nothing but the truth " . ||| " Je jure " ou " je déclare solennellement " - " sur mon honneur et en conscience que je dirai la vérité , toute la vérité et rien que la vérité " . 

Fora Fora | w_freq: 2 - 3 | wiki_freq: 845 - 322 | sentence_idx: 957535 | align_1: 40-42 | align_2: 41-50 |    " First , I wish to thank God for the fact that I am alive , that a truly miraculous operation was done ( on me ) by the hands of the professionals of the Holy House of Juiz de Fora ( hospital ) . ||| «   En premiers lieux , je veux remercier Dieu pour le fait que je sois toujours vivant , qu’ une opération vraiment miraculeuse ait été faite ( sur moi ) par les mains des professionnels de la Holy House of Juiz de Fora [ Maison Sainte de Juiz de Fora ( hôpital)]. 

prophets prophètes | w_freq: 301 - 341 | wiki_freq: 4991 - 2300 | sentence_idx: 957600 | align_1: 19-21 | align_2: 20-25 |    Millions of people have not heard the story of Joseph or Esther , nor read the words of the prophets quoted in the New Testament . ||| Des millions de gens n’ ont pas entendu le récit de Joseph ni d’ Esther , ni lu les paroles des prophètes que l’ on cite dans le Nouveau Testament . 

Deployed Deployed | w_freq: 3 - 2 | wiki_freq: 733 - 1 | sentence_idx: 957980 | align_1: 5-7 | align_2: 6-15 |    Red for " Remember Everyone Deployed . " ||| " RED " pour " Remember Everyone Deployed " ( Pensées aux troupes projetées ) . 

Oden Oden | w_freq: 4 - 4 | wiki_freq: 1014 - 172 | sentence_idx: 958129 | align_1: 2-2 | align_2: 3-6 |    But , Oden realized that his liberal scholarly views had serious social consequences . ||| Mais , Oden s’ est rendu compte que ses vues libérales avaient de graves conséquences sociales . 

modifying modifier | w_freq: 41 - 662 | wiki_freq: 6549 - 14543 | sentence_idx: 958551 | align_1: 13-18 | align_2: 14-23 |    And , in fact , Ireland , Luxembourg and the Netherlands ended up modifying their tax ruling system themselves ( a process of fiscal dumping ) … ||| Et , de fait , l' Irlande , le Luxembourg et les Pays - Bas ont fini par modifier d' eux - mêmes leur dispositif de « tax ruling » ( un procédé de dumping fiscal ) … 

Expect Attendez | w_freq: 57 - 117 | wiki_freq: 746 - 47 | sentence_idx: 959054 | align_1: 0-0 | align_2: 1-5 |    Expect regular doses of bleeding hearts wailing over proposed spending cuts . ||| Attendez -vous à des doses régulières de cœurs saignantes gémissant sur les coupures de dépenses proposées . 

whatsoever quels | w_freq: 129 - 999 | wiki_freq: 5284 - 3905 | sentence_idx: 959105 | align_1: 13-13 | align_2: 14-17 |    Siam Thai Massage will in no way be responsible for any medical problems whatsoever after each session . ||| Siam Thai Massage ne sera en aucun cas responsable de tous problèmes médical quels qu’ ils soient après chaque séance . 

Gowdie Gowdie | w_freq: 1 - 1 | wiki_freq: 104 - 11 | sentence_idx: 959303 | align_1: 3-3 | align_2: 4-7 |    You and Vern Gowdie tried to buy it . ||| Toi et Vern Gowdie , vous aviez essayé d’ en acheter . 

E-205 E-205 | w_freq: 6 - 8 | wiki_freq: 0 - 0 | sentence_idx: 959918 | align_1: 0-0 | align_2: 1-4 |    E-205 And , yet , of all the gifts that we have received , many of us has never received that great Gift yet . ||| E-205 ( 204 ) Et , malgré tous les cadeaux que nous avons reçus , beaucoup parmi nous n' ont pas encore reçu ce grand cadeau . 

Whatever Quel | w_freq: 531 - 1214 | wiki_freq: 7726 - 2271 | sentence_idx: 961881 | align_1: 0-0 | align_2: 1-5 |    Whatever daily objective the owner of the Maestro has set himself , the MEMO is there to remind him of his commitments . ||| Quel que soit l’ objectif quotidien que le propriétaire de la Maestro s’ est fixé , le Memo est là pour le rappeler à ses engagements . 

co-chair co-président | w_freq: 6 - 3 | wiki_freq: 5058 - 353 | sentence_idx: 963148 | align_1: 8-13 | align_2: 9-17 |    Seychelles President James Michel in his address as co-chair alluded to the fact that all of human activity is now interconnected . ||| Le Président des Seychelles James Michel , dans son discours en tant que co-président , a fait allusion au fait que l' ensemble de l' activité humaine est maintenant interconnectée . 

getaway escapade | w_freq: 18 - 22 | wiki_freq: 2411 - 409 | sentence_idx: 963451 | align_1: 13-13 | align_2: 14-18 |    You could visit Spain or Italy in the time span of a weekend getaway ! ||| Vous pourriez visiter l’ Espagne ou l’ Italie dans le temps d’ une escapade de week - end ! 

ego ego | w_freq: 499 - 504 | wiki_freq: 8222 - 2189 | sentence_idx: 964020 | align_1: 8-8 | align_2: 9-15 |    We seek to reach the goal with the ego , but the goal exists before the ego . ||| Nous cherchons à atteindre le but avec l’ ego [ le ‘ je ’ ] , mais le but existe avant l’ ego . 

Israelites Israélites | w_freq: 197 - 172 | wiki_freq: 6428 - 1118 | sentence_idx: 966010 | align_1: 5-2 | align_2: 6-8 |    As well as against the Israelites for their willfulness against him . ||| Contre les Israélites , il s’ est servi de l' idolâtrie . 

Wherever Quel | w_freq: 166 - 1214 | wiki_freq: 1855 - 2271 | sentence_idx: 967086 | align_1: 1-1 | align_2: 2-7 |    “ Wherever my work took me , I never missed an opportunity to visit small family distilleries . ||| « Quel que soit l’ endroit où mon travail m’ emmenait , je ne manquais jamais une occasion d’ aller visiter les petites distilleries familiales . 

Whatever Quelle | w_freq: 531 - 1158 | wiki_freq: 7726 - 2374 | sentence_idx: 967767 | align_1: 1-1 | align_2: 2-5 |    “ Whatever help is needed for Scotland to regain its independence , I will provide it . ||| « Quelle que soit l’ aide dont l’ Ecosse a besoin pour retrouver son indépendance , je la fournirai . 

5What 4Qu' | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 968353 | align_1: 0-0 | align_2: 1-4 |    5What is / will be connected to the pump ? ||| 4Qu' est -ce qui est / sera connecté à la pompe ? 

Googlewash Googlewash | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 970086 | align_1: 2-3 | align_2: 3-7 |    And this Googlewash took just 42 days . ||| Et ce « Googlewash » n’ a pris que 42 jours . 

Moms Moms | w_freq: 9 - 4 | wiki_freq: 1244 - 102 | sentence_idx: 971019 | align_1: 4-4 | align_2: 5-10 |    They 're called Angel Moms for good reason because they are a voice to protect all of America 's children . ||| Ils s’ appellent Angel Moms ( Anges - Mères ) pour une bonne raison , parce qu’ ils sont la voix de la protection de tous les enfants américains . 

Moms Moms | w_freq: 9 - 4 | wiki_freq: 1244 - 102 | sentence_idx: 971020 | align_1: 4-4 | align_2: 5-10 |    They 're called Angel Moms for good reason because they are a voice to protect all of America 's children . ||| Ils s' appellent Angel Moms ( Anges - Mères ) pour une bonne raison , parce qu' ils sont la voix de la protection de tous les enfants américains . 

lesson leçon | w_freq: 609 - 597 | wiki_freq: 10590 - 2885 | sentence_idx: 972286 | align_1: 3-4 | align_2: 4-10 |    Maybe a life lesson was learned or you felt a renewed sense of commitment to each other . ||| Peut - être une leçon de vie a -t -elle été apprise ou vous avez senti un sens renouvelé d' engagement l' un envers l' autre . 

Prioritize Donner | w_freq: 8 - 90 | wiki_freq: 19 - 901 | sentence_idx: 973263 | align_1: 0-0 | align_2: 1-5 |    Prioritize improving coordination between MONUC and the Ugandan and Congolese armies . ||| Donner la priorité à l’ amélioration de la coordination entre la MONUC et les armées congolaise et ougandaise . 

counter-offensive contre-offensive | w_freq: 7 - 11 | wiki_freq: 1732 - 1935 | sentence_idx: 973283 | align_1: 16-16 | align_2: 17-21 |    The struggle that has begun in France must now become the starting point for a European-wide counter-offensive by the working class . ||| La lutte qui a commencé en France doit maintenant devenir le point de départ d’ une contre-offensive à l’ échelle européenne de la classe ouvrière . 

whales baleine | w_freq: 49 - 14 | wiki_freq: 13057 - 3173 | sentence_idx: 974253 | align_1: 18-16 | align_2: 19-20 |    “ This area has been closed 20 % of the time over the past year even if no whales were seen , simply because the two flights in seven days , were not achieved . ||| « Ce secteur a été fermé 20 % du temps l’ an passé même si aucune baleine n’ y a été vue , simplement parce que les deux vols en sept jours n’ étaient pas réalisés . 

pollutants polluants | w_freq: 60 - 78 | wiki_freq: 5758 - 3755 | sentence_idx: 974708 | align_1: 6-6 | align_2: 7-12 |    Then consider the environmental chemicals and pollutants inside your home and outside in your environment that you have been exposed to for years . ||| Pensez ensuite aux produits chimiques et polluants de l’ environnement à l’ intérieur de votre maison et à l’ extérieur dans votre environnement auquel vous avez été exposé pendant des années . 

prophets prophètes | w_freq: 301 - 341 | wiki_freq: 4991 - 2300 | sentence_idx: 974907 | align_1: 6-4 | align_2: 7-9 |    How was the blood of the prophets shed from the foundation of the world when we are not really looking at the laying down of the world but at the death of the prophets ? ||| Comment le sang des prophètes a -t -il été répandu depuis la fondation du monde quand nous ne regardons pas vraiment à l’ établissement du monde , mais à la mort des prophètes ? 

absurd absurde | w_freq: 231 - 211 | wiki_freq: 6605 - 2947 | sentence_idx: 974967 | align_1: 17-15 | align_2: 18-20 |    I like absurd things ; the only person who really managed to make the French love the absurd is Raymond Devos . ||| J’ aime l’ absurde ; le seul qui a vraiment réussi à faire aimer l’ absurde aux français , c’ est Raymond Devos . 

E-24 E-72 | w_freq: 25 - 20 | wiki_freq: 16 - 1 | sentence_idx: 976441 | align_1: 0-0 | align_2: 1-4 |    E-24 Israel was n't ready , but God was ready . ||| E-72 ( 24 ) Israël n’ était pas prêt , mais Dieu était prêt . 

Whatever Quelle | w_freq: 531 - 1158 | wiki_freq: 7726 - 2374 | sentence_idx: 976504 | align_1: 0-0 | align_2: 1-4 |    Whatever the reason , take a moment to consider the person behind the unpleasantness . ||| Quelle qu’ en soit la raison , prenez un moment pour considérer la personne derrière le désagrément . 

warnings avertissements | w_freq: 197 - 193 | wiki_freq: 14507 - 1691 | sentence_idx: 976560 | align_1: 1-1 | align_2: 2-6 |    Their warnings were largely ignored[28 ] . ||| Ses avertissements , cependant , ont été largement ignorés[28]. 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 977528 | align_1: 0-0 | align_2: 1-5 |    Anyway , at that time already his mind and heart have been captured by the sound of the Primar – an exclusive love ! ||| Quoi qu’ il en soit , déjà à cette époque son esprit et son cœur étaient ravis par le son du Primar – un amour exclusif ! 

recommend recommandent | w_freq: 1219 - 135 | wiki_freq: 13127 - 1391 | sentence_idx: 978684 | align_1: 3-3 | align_2: 4-8 |    Bodybuilders with experience recommend energy drink every day , but only when they train . ||| Les bodybuilders expérimentés recommandent de boire de l’ énergie tous les jours , mais seulement lorsqu’ ils s’ entraînent . 

tripled triplé | w_freq: 42 - 47 | wiki_freq: 3673 - 4984 | sentence_idx: 979290 | align_1: 3-5 | align_2: 4-9 |    Online purchases have tripled worldwide since 2014 , and people want everything now . ||| Les achats en ligne ont triplé à l’ échelle mondiale depuis 2014 et les gens veulent tout rapidement . 

licences licences | w_freq: 58 - 227 | wiki_freq: 5477 - 4841 | sentence_idx: 981986 | align_1: 15-19 | align_2: 16-23 |    Actually , the separation of these two names has little or no impact on the licences themselves . ||| En réalité , la séparation de ces deux dénominations n’ a que peu voire pas d’ impact sur les licences en elles - mêmes . 
